seq_name,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,druggable
Positive_63,12.896,7.052,1.612,5.038,2.62,4.634,2.418,9.27,2.418,0.806,11.486,0.806,0.806,3.828,6.448,6.046,2.418,1.612,0.604,8.464,0.319,-0.091,3.788,1.278,2.83,0.958,2.099,-2.921,2.191,0.639,-1.963,-0.411,1
Positive_64,7.33,5.109,1.332,1.111,1.332,1.666,1.222,5.22,0.333,1.777,4.442,0.889,0.555,2.998,2.888,4.331,1.666,0.889,1.666,4.553,9.466,5.593,5.054,3.438,5.772,3.104,4.207,2.437,3.797,2.36,1.437,2.027,1
Positive_65,4.936,1.783,3.154,4.525,2.331,6.582,3.565,4.936,2.606,3.291,7.678,5.896,1.645,3.017,7.678,6.719,5.759,1.92,2.879,4.388,0.469,2.004,4.136,3.795,1.365,3.326,-0.299,1.151,0.597,-0.896,-1.279,0.341,1
Positive_66,5.978,4.891,2.173,4.348,2.581,7.065,3.261,8.424,2.989,4.891,7.201,4.891,2.038,4.076,5.978,5.434,5.978,2.31,3.669,7.065,-0.0,3.0,-4.905,-3.905,0.714,1.476,2.81,4.0,0.476,-1.524,2.381,0.238,1
Positive_67,6.255,4.846,3.662,3.325,2.197,5.747,3.55,9.241,2.254,3.719,9.241,3.832,2.31,2.93,7.1,7.889,4.17,1.859,2.085,5.072,-0.137,1.141,0.365,1.415,1.552,0.411,1.324,0.958,-0.046,0.639,1.278,-0.183,1
Positive_68,9.478,4.308,0.862,2.339,1.354,3.077,0.615,7.508,0.246,1.354,8.985,0.615,1.477,3.077,4.431,3.447,1.846,0.493,1.477,5.047,5.025,1.954,5.614,3.288,2.885,1.954,5.614,3.753,2.916,1.923,1.055,1.985,1
Positive_69,4.741,4.31,6.896,4.094,5.172,9.268,3.017,7.759,2.155,5.388,6.035,6.035,1.294,4.526,3.233,5.819,6.682,1.508,3.449,7.974,-1.689,-0.0,-2.832,-1.192,3.726,3.179,-1.143,-0.596,-2.732,-1.639,2.683,2.881,1
Positive_70,5.05,5.05,1.263,1.736,2.051,1.736,1.894,3.314,0.789,2.841,8.206,0.473,1.736,2.683,2.367,5.997,3.156,0.789,1.894,3.472,6.497,3.588,4.294,3.305,7.655,4.774,2.938,1.695,3.616,2.853,1.808,0.48,1
Positive_71,3.705,4.323,2.007,4.632,3.705,5.249,2.316,5.404,2.779,2.779,7.565,3.705,1.235,2.316,3.088,5.558,2.779,2.316,1.235,4.478,4.164,3.63,0.391,2.42,2.954,4.413,2.491,1.957,1.637,1.637,1.459,1.673,1
Positive_72,6.216,2.664,1.522,1.395,1.903,1.776,2.537,5.709,1.142,3.044,9.133,1.268,2.029,4.44,3.679,5.201,3.044,1.649,1.522,4.186,7.719,3.684,2.755,1.826,2.242,0.673,5.637,2.723,3.523,1.794,1.922,1.441,1
Positive_73,8.708,4.679,1.429,2.859,3.51,0.78,1.56,5.459,0.26,1.04,7.148,0.52,0.78,1.69,8.968,2.859,1.95,0.78,0.91,4.809,5.766,3.126,3.156,1.973,3.642,2.003,5.19,2.337,2.094,1.973,5.341,2.701,1
Positive_74,9.478,8.124,5.754,2.708,3.723,1.693,4.061,9.139,2.37,4.061,10.155,0.0,1.354,3.385,5.077,5.077,3.047,1.016,0.677,9.478,6.01,4.971,-1.22,-0.768,4.202,1.491,2.485,1.13,-3.751,-1.627,-1.446,-1.853,1
Positive_75,4.603,3.548,3.836,2.973,2.589,3.548,3.644,3.548,1.726,4.794,9.397,2.109,2.302,4.603,4.411,6.233,4.794,1.438,3.548,6.808,4.063,2.735,2.615,1.408,3.62,1.408,3.942,1.327,-0.402,-1.569,0.402,-0.0,1
Positive_76,8.218,2.916,3.181,4.506,3.976,5.037,1.59,10.073,1.856,5.832,7.687,8.482,2.12,4.242,5.301,5.567,6.362,0.53,1.59,10.338,-2.237,-3.082,-1.541,-2.336,3.032,1.789,0.994,0.447,1.392,-0.944,1.292,1.789,1
Positive_77,3.353,3.085,2.951,1.207,1.878,2.146,1.743,2.817,0.402,3.621,7.108,2.548,2.146,3.219,3.487,5.901,3.755,0.805,1.743,3.487,3.846,2.784,4.047,3.846,5.712,3.875,2.21,2.21,5.281,3.703,2.468,2.612,1
Positive_78,5.904,3.188,3.07,0.945,1.299,1.889,1.771,2.126,0.59,3.307,5.077,2.952,1.535,2.48,4.133,3.896,4.605,1.063,1.771,4.959,4.949,4.129,1.867,2.064,4.497,3.507,3.79,2.941,3.705,4.581,3.733,3.676,1
Positive_79,9.383,6.894,1.915,3.829,2.681,3.447,2.489,5.17,2.681,2.489,13.212,0.957,2.106,3.064,6.128,5.17,4.404,1.723,2.106,6.319,1.12,-0.474,3.576,2.499,-1.551,1.12,5.644,3.145,-3.447,-3.231,3.274,2.154,1
Positive_80,5.409,4.663,3.357,3.916,2.425,5.223,2.611,5.968,2.798,3.73,8.953,4.85,3.171,3.171,6.528,8.393,4.477,0.373,1.679,4.477,2.542,1.594,-0.776,-1.293,-0.948,-1.206,3.705,4.05,1.422,1.982,1.163,1.594,1
Positive_81,6.158,4.58,1.579,1.737,1.421,2.684,3.158,5.053,2.211,2.369,11.528,3.158,2.369,2.053,2.369,3.316,3.474,1.737,1.264,5.211,5.462,3.169,3.237,0.539,4.922,2.326,4.08,1.989,1.146,1.113,3.001,1.585,1
Positive_82,8.5,6.432,0.919,4.365,2.298,3.446,5.054,8.96,1.838,2.068,10.567,1.838,0.23,1.838,11.256,9.19,5.284,2.987,2.298,7.581,-0.824,-1.115,1.018,0.097,0.582,0.533,1.842,0.194,-2.181,-2.811,2.908,2.811,1
Positive_83,7.297,3.571,1.552,2.173,2.173,1.242,0.621,3.105,0.465,3.416,6.21,1.863,1.863,2.795,3.881,4.192,3.105,0.932,1.863,5.434,4.216,3.35,4.476,2.397,7.941,4.563,4.505,2.83,3.494,2.166,2.079,0.231,1
Positive_84,8.651,6.763,2.674,4.561,1.258,5.347,3.775,9.122,2.359,1.416,10.853,1.573,1.416,4.561,8.021,5.662,4.09,2.674,3.303,8.493,1.111,1.255,0.966,1.835,2.076,2.173,-0.773,-0.435,1.883,-2.656,-3.621,-0.386,1
Positive_85,6.761,7.28,3.12,5.2,2.426,4.506,5.547,6.934,3.466,3.813,9.534,5.2,2.773,4.506,7.454,9.187,5.894,1.04,2.773,7.627,-0.945,-0.21,-2.941,-0.473,1.786,1.733,-1.523,-1.576,-0.105,1.838,-1.681,-0.945,1
Positive_86,6.799,4.376,2.693,4.106,1.817,5.25,2.827,4.78,2.087,3.366,8.078,3.164,1.481,2.221,5.183,7.607,4.039,1.01,1.683,4.24,2.688,4.186,0.499,1.498,1.575,3.571,2.151,2.919,-0.077,1.459,0.23,2.496,1
Positive_87,6.327,4.116,2.821,3.888,1.525,4.498,4.726,7.014,1.754,2.211,9.987,1.83,0.991,2.669,5.794,5.717,2.821,1.525,2.135,6.861,1.426,1.861,5.426,4.436,1.149,0.634,3.327,3.485,-1.901,-1.505,1.782,0.673,1
Positive_88,8.714,8.54,1.569,2.266,1.569,6.1,3.486,6.448,2.789,1.743,11.502,1.743,1.22,3.66,7.146,5.402,4.706,1.569,1.917,6.448,1.859,0.31,-3.497,-2.789,2.346,1.638,6.507,3.32,-0.089,0.974,-0.354,1.239,1
Positive_89,5.507,0.918,2.386,0.826,1.01,1.927,2.111,3.304,0.918,3.947,8.26,1.652,1.744,3.304,3.671,3.947,3.212,1.377,0.826,3.488,6.167,3.206,5.868,2.88,4.944,2.852,4.673,1.657,4.265,2.391,4.537,2.228,1
Positive_90,9.081,2.658,2.215,4.873,3.987,6.645,3.322,8.417,3.1,5.094,9.967,5.537,2.658,4.873,4.651,7.752,4.208,1.329,2.658,8.86,1.528,-0.306,-2.955,-2.038,-0.051,-3.362,1.834,1.426,-0.917,-2.14,2.649,2.445,1
Positive_91,3.703,1.66,3.576,2.554,1.916,2.299,2.299,2.299,0.766,4.342,7.279,3.448,1.916,3.193,1.788,6.769,3.448,0.894,1.788,4.214,6.226,5.143,3.549,1.774,3.789,1.203,5.714,3.82,3.008,1.895,2.797,0.932,1
Positive_92,8.186,6.032,4.596,4.021,0.287,5.601,2.154,6.032,0.718,6.032,7.037,7.612,2.011,1.723,3.16,6.032,5.027,0.144,3.303,7.898,3.198,4.074,-4.468,-1.445,0.263,2.584,-0.0,0.964,1.621,2.891,-0.219,2.935,1
Positive_93,7.913,6.014,2.69,5.381,3.007,5.697,4.273,6.014,2.849,4.906,10.603,5.855,3.165,5.223,6.33,9.02,4.906,1.899,2.216,6.805,-2.252,1.572,-3.143,-3.614,-0.262,2.148,1.205,2.043,-1.886,0.0,-0.943,0.367,1
Positive_94,6.55,6.094,3.365,4.73,2.456,6.913,5.639,6.186,3.638,3.729,10.642,6.094,2.638,4.639,6.64,7.095,5.367,1.91,3.365,7.186,-3.041,-0.996,0.315,0.944,0.315,-0.105,1.416,0.996,0.996,0.21,-3.513,-2.412,1
Positive_95,8.162,6.087,6.916,7.331,0.968,8.162,4.012,6.64,2.628,7.609,11.619,8.991,3.181,5.534,4.426,4.841,5.534,1.66,4.841,8.023,-2.753,-1.347,-8.202,-7.206,0.176,1.406,0.82,5.448,-2.519,-2.109,-0.117,-0.762,1
Positive_96,5.191,1.947,1.947,1.46,1.46,1.784,1.298,1.947,0.811,5.029,6.651,2.433,1.46,3.082,3.568,2.92,1.622,1.135,1.947,5.191,3.993,2.803,5.605,2.644,4.654,2.142,4.283,3.781,5.156,3.675,5.077,3.305,1
