seq_name,_PolarizabilityC1,_PolarizabilityC2,_PolarizabilityC3,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_SecondaryStrC1,_SecondaryStrC2,_SecondaryStrC3,_ChargeC1,_ChargeC2,_ChargeC3,_PolarityC1,_PolarityC2,_PolarityC3,_NormalizedVDWVC1,_NormalizedVDWVC2,_NormalizedVDWVC3,_HydrophobicityC1,_HydrophobicityC2,_HydrophobicityC3,_PolarizabilityT12,_PolarizabilityT13,_PolarizabilityT23,_SolventAccessibilityT12,_SolventAccessibilityT13,_SolventAccessibilityT23,_SecondaryStrT12,_SecondaryStrT13,_SecondaryStrT23,_ChargeT12,_ChargeT13,_ChargeT23,_PolarityT12,_PolarityT13,_PolarityT23,_NormalizedVDWVT12,_NormalizedVDWVT13,_NormalizedVDWVT23,_HydrophobicityT12,_HydrophobicityT13,_HydrophobicityT23,_PolarizabilityD1001,_PolarizabilityD1025,_PolarizabilityD1050,_PolarizabilityD1075,_PolarizabilityD1100,_PolarizabilityD2001,_PolarizabilityD2025,_PolarizabilityD2050,_PolarizabilityD2075,_PolarizabilityD2100,_PolarizabilityD3001,_PolarizabilityD3025,_PolarizabilityD3050,_PolarizabilityD3075,_PolarizabilityD3100,_SolventAccessibilityD1001,_SolventAccessibilityD1025,_SolventAccessibilityD1050,_SolventAccessibilityD1075,_SolventAccessibilityD1100,_SolventAccessibilityD2001,_SolventAccessibilityD2025,_SolventAccessibilityD2050,_SolventAccessibilityD2075,_SolventAccessibilityD2100,_SolventAccessibilityD3001,_SolventAccessibilityD3025,_SolventAccessibilityD3050,_SolventAccessibilityD3075,_SolventAccessibilityD3100,_SecondaryStrD1001,_SecondaryStrD1025,_SecondaryStrD1050,_SecondaryStrD1075,_SecondaryStrD1100,_SecondaryStrD2001,_SecondaryStrD2025,_SecondaryStrD2050,_SecondaryStrD2075,_SecondaryStrD2100,_SecondaryStrD3001,_SecondaryStrD3025,_SecondaryStrD3050,_SecondaryStrD3075,_SecondaryStrD3100,_ChargeD1001,_ChargeD1025,_ChargeD1050,_ChargeD1075,_ChargeD1100,_ChargeD2001,_ChargeD2025,_ChargeD2050,_ChargeD2075,_ChargeD2100,_ChargeD3001,_ChargeD3025,_ChargeD3050,_ChargeD3075,_ChargeD3100,_PolarityD1001,_PolarityD1025,_PolarityD1050,_PolarityD1075,_PolarityD1100,_PolarityD2001,_PolarityD2025,_PolarityD2050,_PolarityD2075,_PolarityD2100,_PolarityD3001,_PolarityD3025,_PolarityD3050,_PolarityD3075,_PolarityD3100,_NormalizedVDWVD1001,_NormalizedVDWVD1025,_NormalizedVDWVD1050,_NormalizedVDWVD1075,_NormalizedVDWVD1100,_NormalizedVDWVD2001,_NormalizedVDWVD2025,_NormalizedVDWVD2050,_NormalizedVDWVD2075,_NormalizedVDWVD2100,_NormalizedVDWVD3001,_NormalizedVDWVD3025,_NormalizedVDWVD3050,_NormalizedVDWVD3075,_NormalizedVDWVD3100,_HydrophobicityD1001,_HydrophobicityD1025,_HydrophobicityD1050,_HydrophobicityD1075,_HydrophobicityD1100,_HydrophobicityD2001,_HydrophobicityD2025,_HydrophobicityD2050,_HydrophobicityD2075,_HydrophobicityD2100,_HydrophobicityD3001,_HydrophobicityD3025,_HydrophobicityD3050,_HydrophobicityD3075,_HydrophobicityD3100,druggable
Positive_49,0.207,0.495,0.298,0.378,0.41,0.213,0.436,0.33,0.234,0.133,0.745,0.122,0.378,0.197,0.426,0.223,0.479,0.298,0.41,0.282,0.309,0.23,0.102,0.283,0.358,0.134,0.15,0.305,0.262,0.112,0.198,0.053,0.182,0.134,0.342,0.187,0.241,0.123,0.262,0.219,0.289,0.155,2.66,13.83,47.34,78.191,99.468,1.064,28.191,51.064,75.532,98.936,0.532,23.404,43.617,67.553,100.0,1.596,20.745,52.66,78.723,98.936,1.064,27.66,44.681,71.809,100.0,0.532,21.809,48.404,61.702,99.468,0.532,24.468,43.085,70.213,100.0,3.723,26.596,52.66,74.468,96.809,1.064,19.681,59.043,77.66,99.468,2.128,19.149,37.766,62.766,100.0,0.532,25.532,52.128,77.66,99.468,2.66,25.0,40.957,63.83,90.426,0.532,26.064,49.468,74.468,98.936,4.787,17.021,47.34,78.191,99.468,1.064,27.66,47.872,72.872,100.0,2.66,17.021,50.0,76.596,99.468,1.064,27.66,51.596,76.064,98.936,0.532,23.404,43.617,67.553,100.0,1.064,27.66,44.681,71.809,100.0,4.787,19.681,48.936,68.085,99.468,0.532,26.064,52.66,77.128,98.936,1
Positive_50,0.328,0.422,0.25,0.48,0.257,0.264,0.466,0.247,0.287,0.091,0.807,0.101,0.382,0.345,0.274,0.405,0.345,0.25,0.257,0.385,0.358,0.292,0.173,0.203,0.234,0.244,0.18,0.22,0.247,0.159,0.146,0.01,0.18,0.268,0.224,0.203,0.322,0.203,0.173,0.224,0.19,0.261,0.676,27.027,50.676,77.027,100.0,1.351,19.932,43.581,67.568,98.649,0.338,33.446,56.081,80.405,99.662,1.014,20.27,49.662,76.689,100.0,3.041,29.73,53.716,76.014,99.662,0.338,24.324,44.932,68.919,95.608,0.338,22.297,48.649,71.284,100.0,2.365,23.311,57.095,77.703,98.649,0.676,25.676,43.919,72.635,99.324,3.041,28.378,55.068,76.351,99.662,0.338,22.973,48.986,74.324,100.0,11.486,27.027,51.351,71.959,97.635,0.338,21.284,48.649,75.0,98.649,0.676,24.324,45.27,73.649,100.0,3.041,29.73,53.716,76.014,99.662,0.676,25.676,48.311,76.014,100.0,1.351,18.581,46.622,67.905,98.649,0.338,33.446,56.081,80.405,99.662,3.041,29.73,53.716,76.014,99.662,0.676,24.324,46.959,73.986,100.0,0.338,19.932,48.649,75.0,98.649,1
Positive_51,0.3,0.438,0.261,0.41,0.322,0.269,0.463,0.276,0.261,0.106,0.77,0.124,0.311,0.318,0.371,0.375,0.364,0.261,0.322,0.399,0.279,0.294,0.128,0.238,0.238,0.213,0.16,0.255,0.202,0.142,0.167,0.025,0.202,0.223,0.206,0.227,0.33,0.17,0.195,0.248,0.149,0.252,0.707,26.855,44.17,72.438,100.0,1.06,21.908,46.643,71.731,98.233,0.353,26.502,58.304,81.625,99.293,1.767,23.675,47.35,74.558,100.0,1.06,23.322,55.124,76.325,99.293,0.353,25.088,45.936,68.905,98.94,0.353,21.555,52.65,75.972,99.647,2.473,27.915,50.177,75.265,98.94,0.707,26.148,43.463,69.258,100.0,1.413,41.343,61.131,81.625,99.293,0.353,22.968,46.996,73.498,100.0,1.06,28.269,44.17,72.085,97.527,0.353,23.675,50.177,78.092,98.94,0.707,25.088,45.583,69.258,100.0,1.06,24.735,54.417,75.972,99.293,0.707,26.148,44.17,70.318,100.0,1.06,20.141,46.643,72.085,96.82,0.353,26.502,58.304,81.625,99.293,1.06,23.322,55.124,76.325,99.293,0.707,25.088,45.936,69.258,100.0,0.353,22.615,49.47,75.265,98.587,1
Positive_52,0.292,0.465,0.243,0.416,0.34,0.243,0.353,0.334,0.313,0.094,0.787,0.119,0.38,0.264,0.356,0.337,0.419,0.243,0.34,0.325,0.334,0.277,0.155,0.238,0.271,0.223,0.152,0.247,0.256,0.235,0.143,0.04,0.174,0.244,0.284,0.165,0.287,0.177,0.216,0.207,0.216,0.262,0.912,22.796,50.76,72.036,98.48,0.608,28.875,49.544,75.684,100.0,0.304,19.453,49.24,76.9,99.392,0.608,23.708,46.809,68.693,99.696,2.432,27.964,51.368,79.939,100.0,0.304,25.532,48.328,80.547,99.392,0.304,23.1,49.544,75.684,99.392,0.608,25.836,47.416,75.988,99.696,1.216,24.316,50.76,73.556,100.0,3.04,13.982,48.632,74.164,97.568,0.304,24.924,50.152,73.556,100.0,2.432,22.188,47.72,75.38,95.137,0.304,24.62,47.112,72.948,99.696,0.912,22.796,45.897,68.085,98.48,2.432,27.964,51.368,78.419,100.0,0.608,21.277,46.505,68.997,98.48,1.52,30.395,50.152,76.292,100.0,0.304,19.453,49.24,76.9,99.392,2.432,27.964,51.368,79.939,100.0,0.912,23.404,48.328,70.821,99.392,0.304,23.708,46.809,71.125,99.696,1
Positive_53,0.386,0.367,0.246,0.469,0.261,0.271,0.348,0.275,0.377,0.126,0.797,0.077,0.324,0.391,0.285,0.469,0.285,0.246,0.261,0.43,0.309,0.272,0.199,0.175,0.301,0.282,0.155,0.165,0.257,0.194,0.223,0.01,0.136,0.223,0.189,0.267,0.262,0.228,0.146,0.291,0.165,0.248,1.449,20.773,51.208,72.947,100.0,0.966,23.188,47.343,72.464,99.517,0.483,32.367,52.657,78.744,95.169,0.966,24.155,47.343,74.396,99.517,2.415,29.469,53.623,78.261,99.034,0.483,19.807,48.792,71.014,100.0,0.483,15.459,41.063,70.048,99.517,2.899,37.681,57.971,77.778,98.068,3.382,20.29,48.792,70.531,100.0,2.415,15.459,43.961,80.676,95.169,0.483,23.188,49.758,72.464,100.0,17.391,31.401,52.174,79.71,97.585,0.483,23.671,47.826,75.845,99.517,1.449,19.324,44.928,69.082,100.0,2.415,31.401,54.106,79.71,99.034,1.449,19.807,45.411,70.531,100.0,0.966,25.121,47.826,75.362,99.517,0.483,32.367,52.657,78.744,95.169,2.415,29.469,53.623,78.261,99.034,1.449,20.29,46.377,69.082,100.0,0.483,24.155,49.275,76.812,99.517,1
Positive_54,0.285,0.462,0.252,0.384,0.355,0.261,0.352,0.325,0.322,0.11,0.77,0.12,0.376,0.259,0.366,0.333,0.414,0.252,0.355,0.329,0.316,0.27,0.146,0.246,0.283,0.205,0.173,0.221,0.217,0.224,0.168,0.034,0.18,0.203,0.291,0.17,0.279,0.166,0.226,0.22,0.236,0.218,0.304,24.411,48.441,75.285,100.0,0.152,24.715,49.582,72.852,99.924,0.076,25.095,54.068,77.338,99.772,0.228,25.703,51.179,76.122,99.772,0.456,25.779,50.646,73.992,100.0,0.076,21.597,45.247,73.84,99.848,0.076,25.019,52.167,73.612,99.62,0.228,25.856,49.125,74.221,99.848,0.152,23.954,48.213,75.894,100.0,0.684,28.289,54.753,76.958,98.631,0.076,24.487,49.506,75.133,99.924,0.913,23.878,47.605,70.646,100.0,0.076,24.487,51.103,75.513,99.772,0.152,23.346,47.985,74.829,99.848,0.456,25.627,50.646,73.992,100.0,0.152,23.346,47.452,75.133,100.0,0.228,26.084,50.951,72.852,99.924,0.076,25.095,54.068,77.338,99.772,0.456,25.779,50.646,73.992,100.0,0.152,23.346,48.061,75.209,99.848,0.076,24.106,51.103,74.525,99.772,1
Positive_55,0.406,0.395,0.199,0.481,0.26,0.26,0.366,0.3,0.334,0.071,0.796,0.132,0.341,0.38,0.279,0.472,0.329,0.199,0.26,0.429,0.312,0.323,0.134,0.176,0.241,0.248,0.134,0.23,0.227,0.227,0.112,0.023,0.211,0.257,0.178,0.208,0.318,0.171,0.14,0.229,0.147,0.267,0.523,25.261,48.432,69.861,98.432,0.348,23.868,48.78,78.223,99.652,0.174,21.603,52.091,78.049,100.0,0.348,23.693,45.296,71.603,99.652,0.523,21.777,51.22,76.132,100.0,0.174,26.829,56.794,75.958,99.303,0.174,25.784,48.606,75.436,100.0,0.348,22.3,52.439,77.003,99.652,0.523,24.39,49.477,71.951,99.303,2.962,31.01,54.878,82.23,100.0,0.174,24.739,49.129,74.39,99.652,0.523,17.944,48.258,74.042,97.909,0.174,21.08,46.341,76.481,99.652,0.697,26.829,50.174,70.209,99.303,0.523,25.261,51.916,78.049,100.0,0.523,25.958,49.826,71.603,99.303,0.348,22.822,47.038,78.223,99.652,0.174,21.603,52.091,78.049,100.0,0.523,21.777,51.22,76.132,100.0,0.697,26.655,51.394,71.254,99.303,0.174,21.08,45.645,76.829,99.652,1
Positive_56,0.32,0.434,0.246,0.43,0.31,0.261,0.427,0.276,0.297,0.084,0.793,0.123,0.339,0.318,0.343,0.396,0.357,0.246,0.31,0.382,0.309,0.283,0.152,0.214,0.293,0.233,0.152,0.252,0.26,0.162,0.138,0.02,0.201,0.219,0.251,0.227,0.297,0.196,0.17,0.233,0.212,0.225,0.195,24.707,51.855,77.441,98.926,0.391,25.098,48.73,73.145,99.902,0.098,24.805,50.586,75.098,100.0,0.391,25.586,51.27,75.195,99.805,0.586,24.707,49.414,74.414,100.0,0.098,22.168,48.535,74.512,99.316,0.098,27.637,52.344,75.781,100.0,0.195,22.461,48.34,74.121,99.805,0.586,22.852,48.145,73.633,98.926,1.367,25.0,47.168,74.316,100.0,0.098,25.293,50.879,75.098,99.902,0.586,22.949,45.898,72.754,98.34,0.098,24.121,48.73,73.438,99.805,0.195,24.316,51.66,76.074,98.926,0.586,25.879,49.609,75.488,100.0,0.195,24.219,50.781,76.465,99.805,0.391,25.293,47.461,73.34,99.902,0.098,24.805,50.586,75.098,100.0,0.586,24.707,49.414,74.414,100.0,0.195,25.977,51.66,76.953,99.316,0.098,23.926,48.73,73.242,99.805,1
Positive_57,0.323,0.463,0.214,0.459,0.319,0.222,0.412,0.307,0.28,0.121,0.774,0.105,0.354,0.3,0.346,0.35,0.436,0.214,0.319,0.346,0.335,0.293,0.145,0.184,0.297,0.203,0.113,0.25,0.219,0.195,0.164,0.035,0.152,0.211,0.246,0.219,0.312,0.148,0.18,0.191,0.219,0.215,1.946,24.514,48.249,76.265,98.833,1.556,21.401,48.638,75.097,99.611,0.389,31.128,50.195,69.65,100.0,2.335,24.125,49.805,76.265,99.611,0.778,26.07,50.195,71.206,100.0,0.389,22.568,45.914,69.65,98.054,0.389,26.459,50.584,73.152,100.0,1.946,18.677,44.358,72.374,98.054,1.556,25.681,53.307,78.599,98.833,0.778,20.623,47.082,65.759,100.0,0.389,22.568,49.416,75.097,99.611,13.619,35.019,50.584,70.817,98.833,0.389,21.79,47.471,75.486,99.611,1.946,24.125,49.416,70.039,98.054,0.778,28.016,50.195,71.206,100.0,1.946,25.681,51.362,76.265,98.833,1.556,21.401,47.471,75.097,99.611,0.389,31.128,50.195,69.65,100.0,0.778,26.07,50.195,71.206,100.0,1.946,25.681,52.918,74.319,98.054,0.389,21.401,43.969,75.097,99.611,1
Positive_58,0.362,0.41,0.228,0.42,0.378,0.202,0.485,0.244,0.27,0.143,0.707,0.15,0.296,0.322,0.381,0.407,0.365,0.228,0.378,0.345,0.277,0.275,0.163,0.17,0.268,0.144,0.167,0.222,0.229,0.157,0.19,0.056,0.193,0.216,0.212,0.222,0.284,0.173,0.16,0.245,0.19,0.199,1.954,23.779,48.208,77.524,99.674,0.977,26.059,49.837,69.707,99.349,0.326,20.847,46.58,73.941,100.0,0.977,21.173,49.186,76.547,99.674,0.651,25.733,50.489,72.638,100.0,0.326,28.013,46.906,73.29,99.023,0.326,19.87,48.208,71.01,100.0,1.303,24.104,42.02,74.919,97.068,1.954,30.619,55.375,78.502,99.674,0.651,25.081,53.42,76.873,100.0,0.326,23.779,47.883,74.593,99.674,12.704,26.059,55.7,71.336,95.44,0.326,21.498,45.928,73.29,99.023,1.954,23.779,51.466,77.199,99.674,0.651,25.733,50.163,71.336,100.0,1.954,24.43,51.466,77.524,99.674,0.977,28.664,49.186,69.381,99.349,0.326,20.847,46.58,73.941,100.0,0.651,25.733,50.489,72.638,100.0,1.954,24.756,51.14,77.199,99.674,0.326,20.847,45.928,72.964,99.023,1
Positive_59,0.405,0.398,0.197,0.485,0.314,0.201,0.522,0.197,0.281,0.104,0.763,0.134,0.311,0.351,0.338,0.458,0.344,0.197,0.314,0.395,0.291,0.339,0.151,0.138,0.295,0.215,0.104,0.195,0.336,0.134,0.141,0.023,0.205,0.272,0.201,0.211,0.352,0.178,0.111,0.232,0.168,0.279,0.669,30.1,50.836,74.916,97.659,1.338,20.401,47.492,75.251,99.666,0.334,19.064,46.154,70.234,100.0,1.003,24.415,50.502,72.241,98.662,0.669,30.435,58.528,81.271,100.0,0.334,19.398,41.137,60.87,97.993,0.334,27.09,55.184,79.599,100.0,1.003,17.726,37.124,70.569,98.662,0.669,28.428,47.826,72.241,99.666,4.013,32.107,62.542,82.609,100.0,0.334,21.739,47.492,72.91,99.666,0.669,30.769,53.846,75.92,97.659,0.334,19.732,43.478,70.569,98.662,1.338,23.411,49.164,70.903,97.324,0.669,30.1,56.187,79.933,100.0,0.669,26.756,49.164,72.241,97.659,1.672,22.074,52.843,76.589,99.666,0.334,19.064,46.154,70.234,100.0,0.669,30.435,58.528,81.271,100.0,1.338,23.411,49.164,70.569,97.993,0.334,19.732,43.478,69.565,98.662,1
Positive_60,0.336,0.442,0.222,0.468,0.329,0.203,0.423,0.303,0.274,0.109,0.747,0.144,0.333,0.326,0.34,0.381,0.397,0.222,0.329,0.374,0.298,0.277,0.156,0.216,0.318,0.199,0.149,0.258,0.227,0.178,0.168,0.036,0.223,0.209,0.254,0.223,0.291,0.175,0.197,0.254,0.213,0.201,0.473,24.586,55.792,76.832,100.0,0.709,23.168,44.681,72.813,99.527,0.236,26.005,50.355,69.976,99.764,0.473,23.877,51.537,76.123,99.054,0.709,26.005,48.7,69.976,100.0,0.236,22.931,46.809,78.96,99.764,0.236,26.241,52.246,75.177,99.764,1.655,22.695,46.572,72.104,99.054,0.946,23.641,46.809,76.123,100.0,1.418,21.513,44.917,62.175,99.291,0.236,24.586,50.827,76.123,99.764,1.182,26.95,49.645,71.158,100.0,0.236,25.296,48.463,74.941,99.764,0.473,22.695,50.118,76.359,98.109,0.709,26.478,50.355,70.686,100.0,0.473,23.641,51.3,76.359,100.0,0.709,25.059,47.281,73.05,99.527,0.236,26.005,50.355,69.976,99.764,0.709,26.005,48.7,69.976,100.0,0.473,22.931,50.827,76.832,98.109,0.236,25.296,48.463,75.887,99.764,1
Positive_61,0.312,0.473,0.214,0.473,0.318,0.208,0.426,0.274,0.301,0.113,0.777,0.11,0.354,0.31,0.336,0.381,0.405,0.214,0.318,0.357,0.324,0.296,0.128,0.197,0.304,0.206,0.107,0.227,0.254,0.182,0.17,0.033,0.164,0.254,0.254,0.164,0.316,0.161,0.164,0.179,0.233,0.257,2.679,25.298,52.083,75.0,99.405,1.19,27.083,51.488,75.595,100.0,0.298,14.881,42.262,64.583,99.702,1.488,23.512,50.298,78.869,100.0,2.083,26.786,45.238,70.238,98.512,0.298,24.107,52.083,73.512,99.702,0.298,20.536,49.405,74.107,99.702,0.595,25.0,50.0,75.595,100.0,1.19,27.679,45.833,74.405,97.321,2.083,16.369,42.857,74.702,98.214,0.298,25.0,50.893,75.595,100.0,4.167,24.702,45.536,66.964,98.512,0.298,23.512,49.107,75.595,100.0,1.19,23.81,52.083,78.571,99.405,2.083,27.381,45.536,70.238,99.702,1.19,23.81,50.595,75.0,99.405,1.786,30.952,54.762,75.893,100.0,0.298,14.881,42.262,64.583,99.702,2.083,26.786,45.238,70.238,98.512,0.595,24.107,51.786,76.19,99.702,0.298,23.512,50.298,76.488,100.0,1
Positive_62,0.356,0.44,0.204,0.492,0.29,0.218,0.46,0.252,0.288,0.088,0.809,0.104,0.342,0.349,0.309,0.411,0.385,0.204,0.29,0.392,0.318,0.31,0.163,0.176,0.287,0.231,0.125,0.231,0.228,0.156,0.136,0.022,0.176,0.253,0.228,0.199,0.323,0.172,0.167,0.228,0.185,0.256,0.358,20.572,43.113,71.914,99.463,0.716,28.086,51.878,75.134,100.0,0.179,23.792,55.814,76.565,99.106,1.252,23.435,48.479,75.85,100.0,0.358,27.37,53.131,73.703,99.642,0.179,23.614,50.805,74.061,99.463,0.179,25.939,51.699,75.134,100.0,0.894,23.435,50.626,73.882,99.821,0.358,25.224,46.154,74.419,99.463,0.537,20.394,46.333,72.093,97.317,0.179,24.866,49.195,74.776,100.0,0.358,26.118,55.456,79.964,97.496,0.179,26.297,53.846,76.923,100.0,1.073,21.646,41.86,72.809,99.463,0.358,27.37,54.025,73.524,99.642,0.358,22.004,42.934,70.841,99.463,0.716,28.086,53.846,75.85,100.0,0.179,23.792,55.814,76.565,99.106,0.358,27.37,53.131,73.703,99.642,0.894,22.54,43.649,72.809,99.463,0.179,25.76,53.667,76.565,100.0,1
Positive_63,0.343,0.404,0.254,0.498,0.31,0.192,0.488,0.272,0.239,0.117,0.742,0.141,0.352,0.315,0.333,0.38,0.366,0.254,0.31,0.376,0.315,0.288,0.184,0.217,0.288,0.217,0.09,0.259,0.245,0.142,0.156,0.061,0.193,0.25,0.222,0.156,0.278,0.222,0.179,0.179,0.198,0.236,5.634,28.638,51.174,69.484,99.531,1.408,26.761,54.93,78.404,100.0,0.469,14.085,41.784,73.239,99.061,3.756,25.352,51.174,71.362,100.0,0.939,20.657,48.826,76.526,98.592,0.469,24.883,44.131,67.136,97.183,0.469,25.352,52.113,76.526,98.592,1.878,24.413,45.54,76.995,100.0,1.408,21.127,46.009,67.606,99.531,0.939,13.615,46.479,74.648,97.653,0.469,23.474,49.296,70.892,100.0,4.695,30.516,58.685,80.282,98.592,0.469,22.535,45.54,76.995,100.0,1.408,26.291,49.765,68.545,99.531,0.939,21.127,48.826,76.526,98.592,1.408,28.638,49.765,69.484,99.531,2.347,26.761,57.277,78.404,100.0,0.469,14.085,41.784,73.239,99.061,0.939,20.657,48.826,76.526,98.592,1.408,28.169,49.296,69.484,99.531,0.469,22.535,52.113,72.3,100.0,1
Positive_64,0.306,0.499,0.195,0.455,0.327,0.218,0.524,0.224,0.252,0.106,0.779,0.115,0.311,0.335,0.354,0.392,0.413,0.195,0.327,0.38,0.293,0.344,0.116,0.205,0.316,0.212,0.135,0.225,0.28,0.127,0.163,0.033,0.171,0.22,0.238,0.223,0.349,0.14,0.181,0.239,0.212,0.239,1.789,19.512,45.203,72.683,99.837,0.325,27.805,53.984,77.724,100.0,0.163,26.341,44.39,67.805,99.675,0.488,23.089,47.805,76.748,99.512,0.65,25.691,47.967,73.171,100.0,0.163,26.504,54.797,72.033,98.699,0.163,25.854,51.545,76.585,100.0,0.488,23.415,41.789,71.545,99.024,0.325,23.089,53.333,73.496,99.837,3.577,21.951,42.439,67.805,99.675,0.163,25.366,51.87,75.935,99.512,2.927,19.35,45.041,72.358,100.0,0.163,24.553,47.805,77.886,99.512,0.325,22.439,55.935,74.146,99.35,0.65,26.341,48.455,72.358,100.0,0.325,22.439,52.033,73.496,99.837,0.488,24.878,51.545,77.886,100.0,0.163,26.341,44.39,67.805,99.675,0.65,25.691,47.967,73.171,100.0,0.325,23.415,52.846,72.195,99.35,0.163,24.39,48.618,78.699,99.512,1
Positive_65,0.401,0.425,0.174,0.449,0.286,0.265,0.382,0.286,0.332,0.089,0.794,0.117,0.296,0.399,0.305,0.476,0.35,0.174,0.286,0.439,0.275,0.358,0.125,0.158,0.274,0.238,0.157,0.214,0.262,0.189,0.142,0.027,0.197,0.234,0.187,0.246,0.339,0.147,0.136,0.274,0.157,0.254,0.319,27.316,51.597,75.08,99.84,0.639,25.399,50.319,75.399,100.0,0.16,16.773,41.853,71.725,99.681,1.118,24.601,52.236,75.719,99.84,1.438,24.441,49.521,73.802,100.0,0.16,24.76,48.722,73.482,99.201,0.16,19.489,42.812,70.128,100.0,0.319,25.399,55.112,76.837,99.681,0.639,30.511,52.396,78.435,99.84,1.597,21.885,46.805,70.767,99.521,0.16,25.559,52.077,76.038,100.0,1.438,19.329,43.45,66.294,98.562,0.16,21.565,47.444,74.601,99.681,0.319,27.955,52.716,75.559,99.84,0.958,22.045,46.645,72.524,100.0,0.319,27.796,51.278,75.399,99.84,1.118,24.281,50.639,75.24,100.0,0.16,16.773,41.853,71.725,99.681,1.438,24.441,49.521,73.802,100.0,0.319,26.518,49.042,74.92,99.84,0.16,23.003,52.077,76.677,99.681,1
Positive_66,0.324,0.448,0.228,0.398,0.346,0.257,0.474,0.217,0.309,0.128,0.748,0.124,0.285,0.354,0.361,0.43,0.341,0.228,0.346,0.385,0.27,0.268,0.129,0.17,0.272,0.216,0.157,0.194,0.246,0.129,0.155,0.024,0.187,0.181,0.231,0.207,0.264,0.168,0.131,0.222,0.207,0.179,0.435,20.0,43.913,66.522,99.348,0.87,27.174,51.739,76.957,100.0,0.217,26.739,56.522,77.174,99.783,1.957,26.957,52.609,75.87,99.565,2.174,30.0,51.304,75.0,100.0,0.217,11.739,41.957,71.087,99.783,0.217,31.739,55.0,78.261,100.0,1.087,25.217,58.913,75.652,99.565,0.435,11.739,41.304,63.043,99.348,6.739,26.304,37.174,74.13,97.174,0.217,25.0,49.783,74.783,99.783,2.174,15.217,53.043,73.478,100.0,0.217,29.783,61.739,80.87,99.565,0.435,12.609,42.174,63.043,98.478,2.174,30.0,51.957,75.0,100.0,0.435,14.13,41.957,64.783,99.348,1.957,35.87,60.0,80.87,100.0,0.217,26.739,56.522,77.174,99.783,2.174,30.0,51.304,75.0,100.0,0.435,16.522,42.826,66.739,99.783,0.217,30.652,61.304,80.87,99.565,1
Positive_67,0.364,0.39,0.246,0.404,0.382,0.213,0.5,0.228,0.272,0.132,0.699,0.169,0.29,0.312,0.397,0.397,0.357,0.246,0.382,0.357,0.261,0.292,0.159,0.21,0.299,0.173,0.162,0.236,0.251,0.155,0.192,0.041,0.225,0.199,0.232,0.236,0.295,0.177,0.192,0.266,0.196,0.207,0.735,26.838,51.103,70.588,98.897,1.471,22.426,48.162,74.632,96.691,0.368,15.441,48.529,75.735,100.0,2.574,23.162,50.368,67.647,99.632,1.471,25.0,47.426,78.676,100.0,0.368,23.897,53.309,79.779,97.794,0.368,23.529,51.471,75.368,100.0,2.574,24.265,47.794,68.382,99.632,0.735,25.735,48.162,73.529,98.897,2.206,14.706,48.529,74.265,100.0,0.368,23.897,49.265,70.956,99.632,1.838,26.471,58.456,81.618,98.897,0.368,21.324,49.632,74.632,99.632,0.735,26.103,52.574,69.853,97.426,1.471,25.0,47.426,78.676,100.0,0.735,28.309,52.574,73.162,98.897,1.471,22.426,46.691,73.897,96.324,0.368,15.441,48.529,75.735,100.0,1.471,25.0,47.426,78.676,100.0,0.735,26.838,53.676,72.794,97.426,0.368,19.853,46.691,71.324,99.632,1
Positive_68,0.352,0.434,0.214,0.459,0.302,0.239,0.47,0.264,0.266,0.113,0.783,0.104,0.308,0.365,0.327,0.426,0.36,0.214,0.302,0.426,0.272,0.32,0.132,0.176,0.253,0.226,0.149,0.226,0.24,0.14,0.163,0.019,0.146,0.256,0.174,0.229,0.328,0.168,0.14,0.264,0.138,0.262,1.923,27.473,50.0,76.923,99.725,0.549,23.077,49.725,72.253,99.176,0.275,23.352,47.802,71.154,100.0,1.923,28.022,50.275,76.923,99.725,1.099,19.505,45.604,71.154,99.176,0.275,22.802,54.121,72.253,100.0,0.275,23.901,54.121,78.571,99.725,0.824,25.824,48.626,69.78,100.0,0.549,24.725,45.879,75.0,99.176,3.571,18.956,40.385,70.879,93.956,0.275,26.374,51.099,75.549,100.0,3.022,18.407,39.56,60.165,97.527,0.275,25.824,50.275,71.703,100.0,0.549,27.473,53.022,77.198,99.725,1.099,22.253,45.879,70.879,99.451,0.549,25.549,50.0,75.275,99.725,1.099,22.527,49.451,73.626,99.176,0.275,23.352,47.802,71.154,100.0,1.099,19.505,45.604,71.154,99.176,0.549,26.099,54.121,77.198,100.0,0.275,25.824,48.901,70.604,98.626,1
