seq_name,APAAC1,APAAC2,APAAC3,APAAC4,APAAC5,APAAC6,APAAC7,APAAC8,APAAC9,APAAC10,APAAC11,APAAC12,APAAC13,APAAC14,APAAC15,APAAC16,APAAC17,APAAC18,APAAC19,APAAC20,APAAC21,APAAC22,APAAC23,APAAC24,APAAC25,APAAC26,APAAC27,APAAC28,APAAC29,APAAC30,APAAC31,APAAC32,druggable
Positive_10,5.455,3.223,4.215,3.719,1.984,5.207,2.231,6.695,2.48,8.927,9.919,7.439,1.984,2.48,3.967,8.182,5.703,1.984,1.488,7.191,-1.228,-0.52,0.52,1.134,-0.236,-0.425,1.228,1.086,-1.228,1.134,3.354,0.709,1
Positive_11,7.268,4.038,4.845,3.499,2.153,4.845,4.307,4.575,2.153,4.845,13.458,5.114,1.884,5.114,3.499,6.999,5.922,0.808,2.422,4.038,2.432,3.58,-2.524,-1.01,1.606,1.01,3.58,0.505,1.193,0.138,-1.606,-0.688,1
Positive_12,8.431,8.068,2.762,6.178,0.872,7.995,3.779,7.632,1.745,5.306,8.722,4.724,2.181,2.617,4.579,3.924,4.724,0.727,2.762,7.923,-2.009,0.239,-4.543,-2.917,1.1,3.682,1.53,3.491,0.956,3.348,-0.861,0.335,1
Positive_13,8.6,8.6,3.365,5.983,0.748,7.105,2.991,4.487,1.87,3.365,9.348,4.487,0.748,5.983,6.731,4.861,4.487,1.87,3.365,9.722,-3.899,-5.38,1.876,0.099,-4.047,-0.74,8.44,9.279,-6.861,-1.037,1.481,2.073,1
Positive_14,3.08,0.385,1.54,1.155,0.385,1.925,1.155,1.155,0.0,3.465,10.781,1.155,3.08,3.08,3.08,2.31,2.695,1.54,1.155,1.155,5.003,0.177,7.704,4.627,5.756,1.35,7.151,4.782,5.601,2.015,6.797,4.76,1
Positive_15,9.145,2.438,4.267,4.267,3.353,7.62,4.878,10.973,2.438,7.62,9.45,7.62,2.744,4.572,4.572,3.963,4.572,0.61,1.524,9.754,-0.957,-0.266,-6.011,-8.989,2.926,2.766,1.862,1.117,-2.34,-2.128,4.202,1.436,1
Positive_16,5.872,9.394,1.761,4.697,1.175,5.284,2.348,5.872,2.936,3.523,4.109,8.22,4.109,5.284,4.109,4.109,5.284,1.761,1.761,8.807,-5.787,0.226,-5.47,-4.973,3.3,2.486,10.172,13.608,3.707,3.843,-7.595,-3.933,1
Positive_17,10.596,3.998,5.398,4.198,1.599,5.398,4.198,8.796,1.799,6.197,8.596,6.797,3.798,4.198,5.997,6.997,6.397,1.199,2.199,8.596,-1.07,0.963,-0.374,-1.925,1.872,1.765,1.123,-0.695,-4.171,-2.781,0.695,-2.353,1
Positive_18,8.982,9.51,1.585,3.698,0.0,7.396,1.056,6.868,3.17,6.868,9.51,5.283,2.113,5.283,6.339,4.227,4.227,1.585,5.283,6.868,-2.147,-0.449,-9.086,-7.489,-2.446,4.044,5.242,4.194,11.283,6.59,-3.195,-6.39,1
Positive_19,11.42,5.209,3.206,5.81,1.603,6.011,4.408,9.016,2.605,5.41,9.417,7.213,1.603,5.61,7.013,8.214,5.41,2.003,3.407,8.214,-2.425,-0.113,-6.712,-4.456,-1.579,0.113,2.482,1.579,-4.399,-5.584,3.328,4.963,1
Positive_20,6.599,7.479,2.2,5.28,2.2,6.16,7.919,0.88,0.88,3.96,2.639,5.719,3.519,1.32,3.96,1.76,2.2,0.88,5.719,4.4,8.551,5.486,-4.54,-4.502,2.232,-0.416,1.362,6.016,2.346,-1.816,5.07,4.54,1
Positive_21,8.43,4.416,2.275,5.084,1.74,6.155,4.282,9.099,1.205,6.155,10.036,9.5,2.542,4.148,4.416,6.423,5.084,0.134,2.408,8.564,1.94,3.012,-5.819,-5.105,1.736,2.552,1.225,3.063,-2.144,-2.144,-0.408,-0.0,1
Positive_22,4.277,0.475,2.851,0.475,1.425,0.95,0.475,1.901,1.425,3.326,10.929,0.0,4.752,1.425,0.95,3.801,2.376,0.0,1.901,2.851,5.448,1.909,6.217,3.027,5.728,1.7,4.703,2.887,6.892,3.772,7.194,3.958,1
Positive_23,23.511,17.354,2.239,9.516,3.919,11.196,3.359,17.354,3.359,2.239,22.951,1.68,2.239,6.157,9.516,7.838,6.717,1.12,2.799,10.636,-6.877,-0.249,-1.823,-1.243,1.657,0.746,-13.173,-6.711,-6.379,-8.534,-14.664,-8.451,1
Positive_24,7.685,3.416,1.708,3.416,0.0,6.831,1.708,8.539,6.831,1.708,5.123,9.392,2.562,5.977,2.562,3.416,1.708,3.416,3.416,4.269,1.548,-5.649,-2.259,-3.891,4.351,2.301,3.431,2.218,12.636,15.481,-6.234,-7.615,1
Positive_25,8.45,7.456,4.474,8.946,2.982,4.97,3.976,6.462,0.994,1.988,9.444,5.468,2.486,4.97,2.486,5.964,4.474,2.982,3.976,6.958,-2.997,1.199,7.842,7.692,0.999,-0.2,-3.397,0.999,-5.844,-1.499,-1.049,-3.646,1
Positive_26,13.464,4.232,4.616,3.846,1.539,4.232,5.001,11.925,0.769,5.386,10.002,4.232,2.308,3.462,5.001,4.616,5.001,0.0,1.154,9.617,-2.51,-1.406,-3.665,-2.058,4.618,0.954,0.703,-2.259,3.464,1.857,1.054,-1.155,1
Positive_27,5.072,5.796,2.898,4.347,1.449,0.724,1.449,4.347,0.724,3.622,7.97,5.072,2.173,2.173,5.072,3.622,0.724,1.449,2.898,1.449,5.326,0.756,3.026,1.072,8.919,7.123,6.177,3.246,-0.567,1.828,0.378,-0.315,1
Positive_28,5.322,4.776,3.684,4.639,1.774,7.368,2.865,7.096,2.32,7.368,8.187,6.549,1.774,3.957,5.185,5.594,5.868,0.409,1.774,8.051,1.513,4.019,-5.91,-2.6,0.189,-0.898,3.499,3.877,-0.993,0.378,-0.189,2.553,1
Positive_29,10.04,6.372,4.441,5.792,2.124,6.372,4.441,9.461,3.283,6.95,12.163,6.372,2.896,4.827,6.758,4.634,6.372,0.966,4.441,7.916,1.924,3.848,-3.149,-5.714,1.574,-1.341,-1.224,-2.624,-2.391,-2.915,-1.341,-3.265,1
Positive_30,16.134,5.826,3.585,6.722,0.448,4.929,4.481,12.549,2.241,8.963,12.1,4.034,4.481,3.137,5.826,7.171,5.826,1.793,2.688,7.619,-1.989,-2.049,-6.872,-5.244,-0.181,-2.652,6.329,2.773,-2.954,-2.592,-1.145,-3.978,1
Positive_31,7.468,2.873,3.447,2.011,2.298,5.17,2.585,5.458,1.723,7.182,12.064,6.32,2.011,4.021,2.298,5.745,5.458,1.149,3.447,6.32,1.87,1.336,-6.011,-5.165,4.853,6.278,7.836,5.476,1.558,0.356,-1.469,-5.966,1
Positive_32,2.199,0.825,1.1,0.825,0.275,2.749,0.0,7.973,0.0,3.299,5.224,0.55,2.749,2.199,1.1,2.749,1.1,1.375,3.024,8.522,8.06,3.109,7.821,1.961,7.725,4.162,5.381,1.913,4.64,-0.67,6.075,1.985,1
Positive_33,10.132,6.803,2.894,4.342,1.447,6.947,7.526,7.816,5.066,3.763,14.473,3.907,2.46,5.5,6.657,8.539,3.329,2.026,3.473,7.382,0.744,2.977,-4.465,-3.148,-0.229,-0.973,0.973,-0.229,-0.172,-0.801,-5.61,-3.549,1
Positive_34,4.01,5.346,1.336,4.9,3.564,7.128,3.119,3.564,2.673,2.228,6.683,7.128,0.891,3.564,6.238,2.673,3.564,1.782,2.228,4.01,-3.333,-1.034,-2.835,-0.69,6.437,6.513,2.912,4.215,3.678,6.169,-0.383,1.724,1
Positive_35,0.0,4.738,1.184,2.369,0.0,6.516,2.961,3.554,3.554,4.146,5.923,8.293,3.554,3.554,7.7,2.961,2.961,2.369,3.554,5.923,7.392,7.316,-3.98,-6.52,-2.237,-0.758,0.948,3.904,6.52,1.44,6.255,3.904,1
Positive_36,9.112,2.733,3.038,4.86,0.303,6.074,2.126,6.074,2.43,4.86,7.897,9.416,2.733,5.164,3.341,7.289,7.289,0.303,1.823,8.505,2.098,-1.144,-10.539,-8.202,0.906,6.056,5.007,8.774,-0.811,-0.858,1.955,1.383,1
Positive_37,7.296,4.983,5.161,5.339,2.314,6.941,4.271,7.83,2.492,5.873,9.61,7.475,3.203,5.339,4.093,6.585,6.228,1.601,3.382,5.695,1.216,0.317,0.74,1.374,2.273,2.696,0.529,0.264,-6.712,-5.973,-1.638,-0.793,1
Positive_38,10.778,5.321,4.229,5.73,1.5,6.549,6.685,7.64,3.684,4.502,12.825,3.547,4.093,1.774,4.775,5.73,6.549,0.955,2.32,7.367,0.693,-0.213,-6.287,-1.332,1.545,1.385,1.758,1.652,-1.865,-0.852,-2.611,-0.426,1
Positive_39,4.994,5.41,3.954,2.289,1.457,6.45,5.618,3.954,2.497,2.913,8.948,6.658,0.833,2.705,6.242,6.867,3.537,0.833,2.497,5.202,2.18,1.635,-3.774,-0.168,1.761,2.18,2.558,2.642,2.683,3.061,0.922,0.461,1
Positive_40,11.612,3.387,2.904,4.355,1.451,7.258,1.935,8.71,1.451,4.839,8.71,7.742,2.42,1.451,4.355,4.355,3.871,0.0,1.451,9.193,8.779,7.819,-1.189,0.732,-5.258,-4.618,-0.96,0.091,0.0,1.509,-1.417,3.064,1
Positive_41,5.865,6.931,4.532,7.196,0.534,5.865,3.199,5.865,4.265,5.598,8.796,6.13,3.998,3.465,6.397,6.664,3.465,1.333,6.13,7.997,-4.221,-6.722,-4.117,-4.69,8.129,6.149,5.628,1.668,-5.628,-2.293,-0.104,1.98,1
Positive_42,7.975,6.162,2.9,9.062,1.45,7.975,3.625,7.25,2.9,4.713,10.15,6.162,3.262,5.8,4.713,5.8,6.887,1.813,5.8,5.075,-4.707,-0.876,-5.473,-7.827,6.732,6.349,-3.339,0.766,-0.274,1.04,-2.135,0.274,1
Positive_43,5.719,5.148,5.148,5.148,1.144,8.008,5.148,8.579,2.288,8.008,14.3,6.864,1.144,6.292,7.436,10.867,5.148,3.432,6.864,10.867,0.765,1.084,-3.125,-6.76,-3.444,-1.913,0.319,-1.339,-8.099,-8.291,4.464,-1.212,1
Positive_44,4.802,4.468,3.935,3.668,2.134,5.468,2.801,4.868,2.001,2.868,8.869,2.801,1.067,3.068,4.935,7.202,2.667,1.534,1.667,3.334,2.373,3.56,0.853,2.744,3.634,4.709,1.669,3.152,0.371,1.446,-0.519,1.854,1
Positive_45,9.206,2.802,4.003,6.004,1.201,6.805,2.802,2.002,4.403,5.604,8.406,6.805,1.601,3.602,3.202,7.205,3.602,0.8,3.202,4.003,1.44,0.044,0.96,-0.48,-0.785,2.312,1.527,3.272,4.756,6.763,-4.974,-2.094,1
Positive_46,8.557,7.176,3.589,6.072,2.208,9.109,6.348,6.9,3.589,7.176,11.592,3.313,3.037,4.968,8.281,6.624,5.52,1.38,2.485,6.624,2.864,1.031,-3.093,-3.093,-0.802,1.661,-1.432,0.0,0.458,0.573,-5.613,-7.102,1
Positive_47,5.813,5.164,3.425,3.555,1.479,6.149,2.621,7.109,1.764,5.604,8.148,5.527,3.321,2.621,3.763,5.06,7.058,2.335,1.816,5.579,2.505,2.286,0.571,1.846,1.055,0.571,1.451,1.231,0.044,0.615,-0.571,0.484,1
Positive_48,4.415,5.518,2.207,6.621,1.104,7.173,3.863,7.173,1.932,5.794,7.725,5.242,2.483,5.242,10.484,9.381,4.415,2.483,3.311,4.139,0.453,4.129,-2.266,-3.474,-1.158,0.252,2.87,6.143,-4.381,-1.007,-0.705,-1.561,1
Positive_49,4.531,1.133,13.029,1.7,1.133,11.329,3.398,4.531,1.7,9.63,9.63,13.029,1.7,5.098,0.567,5.098,6.231,1.7,7.364,3.965,-4.047,0.905,1.065,-6.283,-2.183,-2.662,4.153,0.266,-2.183,-0.586,1.065,3.994,1
Positive_50,11.215,6.659,3.855,5.957,0.351,4.556,2.804,6.308,1.752,4.556,13.668,2.804,4.907,4.556,7.71,5.957,4.556,2.804,2.453,6.308,0.467,-0.934,-6.068,-3.89,3.683,0.934,-4.616,-2.49,3.268,-0.259,2.749,3.423,1
Positive_51,8.892,7.469,3.557,5.691,0.0,6.758,5.691,4.979,4.979,5.691,8.892,3.201,0.712,4.624,7.469,4.624,6.046,2.134,3.201,6.046,1.711,-1.158,-1.61,-1.761,-7.499,-4.177,1.309,1.661,5.637,4.68,1.107,-0.554,1
Positive_52,3.945,2.255,9.582,5.355,1.409,5.637,2.255,6.2,1.409,7.046,8.173,6.482,2.537,4.791,2.819,5.073,6.482,0.846,4.227,6.2,-0.834,0.417,-1.715,1.02,1.808,5.239,-3.802,-0.371,1.066,1.344,2.04,1.066,1
Positive_53,6.778,6.162,5.546,6.162,3.698,3.698,1.848,16.02,3.08,4.314,10.476,9.858,2.464,6.778,6.778,13.556,6.778,1.232,1.848,10.476,-8.929,-3.444,-10.332,-4.847,-1.276,-1.148,3.316,2.679,-4.783,-2.296,0.765,2.742,1
Positive_54,4.996,3.651,11.626,8.455,0.96,6.725,4.131,6.053,1.346,12.874,10.953,10.28,2.402,5.381,5.092,9.512,7.013,1.25,7.591,6.053,-2.653,-0.695,-5.243,-4.232,-0.632,-2.148,-1.579,-0.0,-2.337,-3.411,-1.895,-1.516,1
Positive_55,10.185,5.718,3.395,8.756,0.715,4.825,2.323,9.113,1.965,4.646,8.934,1.608,1.965,3.753,6.075,6.968,6.611,2.323,3.038,9.649,1.949,0.615,-1.333,-2.821,-0.872,0.821,3.128,1.333,-3.692,-2.667,1.282,-0.308,1
Positive_56,9.921,8.503,6.055,8.245,2.061,7.988,7.472,9.148,4.38,5.025,12.368,2.577,3.092,4.896,7.988,7.73,7.215,5.025,3.993,8.245,-5.343,-3.628,-1.715,-2.045,-3.694,-4.881,0.132,-2.111,-5.739,-2.704,0.198,-0.396,1
Positive_57,4.716,1.966,6.682,4.323,0.786,6.289,2.752,9.039,2.752,5.896,11.791,10.219,1.179,1.966,1.966,6.289,8.254,1.572,1.966,10.612,0.556,2.121,-4.596,-7.02,2.222,-0.101,-1.212,4.798,3.131,5.152,-4.596,-1.465,1
Positive_58,9.37,4.134,4.684,6.614,0.551,6.063,2.481,4.409,0.276,3.858,9.094,7.992,1.653,2.481,3.307,3.858,6.338,1.102,1.653,4.684,2.961,4.695,-0.719,1.819,-2.538,2.242,3.046,5.584,-1.354,1.734,-3.68,1.607,1
Positive_59,13.359,5.725,1.59,8.906,1.272,3.816,5.725,7.315,2.226,4.771,12.404,4.135,2.226,2.545,3.816,5.089,3.816,0.0,1.909,4.453,3.329,1.427,-3.233,-1.284,2.473,5.373,3.994,5.373,-5.231,-2.71,-5.516,0.903,1
Positive_60,11.877,3.959,6.221,5.939,0.566,11.311,2.828,10.463,1.414,10.181,8.201,9.049,1.98,4.242,4.807,5.373,6.504,1.696,4.242,8.767,-3.768,-2.033,-10.706,-9.39,3.648,3.469,2.333,5.084,-0.12,1.316,-7.297,-2.153,1
Positive_61,8.712,5.925,6.273,6.97,1.393,5.925,4.879,11.152,2.091,10.456,12.546,7.319,2.439,3.834,6.622,4.181,5.576,0.0,3.485,7.319,-0.644,0.41,-5.152,-3.864,-0.41,-0.059,-1.639,0.351,0.41,-2.283,-3.162,-1.054,1
Positive_62,12.901,5.451,4.179,5.996,0.364,4.542,5.815,7.813,1.999,5.088,9.448,3.453,3.089,3.271,5.27,5.996,3.453,1.09,2.363,9.994,-0.508,-1.625,-2.184,-1.016,2.641,-0.152,3.707,2.641,-2.133,-2.082,-0.0,-0.863,1
Positive_63,11.092,6.269,1.929,5.787,0.965,8.681,3.375,9.646,2.411,7.234,10.61,5.787,1.929,5.787,2.894,4.34,4.34,0.0,3.858,5.787,5.29,4.982,-0.205,-2.465,2.465,0.411,0.822,4.982,-5.496,-5.239,-6.728,-1.541,1
Positive_64,14.587,8.364,3.89,5.446,1.361,8.364,8.752,6.224,3.306,7.391,13.615,4.279,1.361,2.529,8.947,5.64,4.667,1.361,2.14,7.391,-4.366,-1.136,-5.921,-1.435,-4.426,-1.854,0.359,1.974,1.077,1.017,-4.246,-0.658,1
Positive_65,10.19,5.694,3.896,6.893,0.299,4.046,3.597,7.643,1.798,4.946,6.294,2.697,1.498,2.248,6.743,5.994,6.893,0.449,1.948,10.04,-1.36,-1.173,-0.704,0.797,2.486,3.096,-3.049,-0.563,1.923,1.782,1.548,1.407,1
Positive_66,5.163,5.476,1.095,3.442,2.034,5.476,5.632,5.632,1.095,2.816,5.945,3.755,1.565,2.816,5.632,6.415,2.66,0.626,1.095,3.598,2.231,3.311,-0.864,-0.468,4.246,4.462,1.619,1.08,5.434,4.786,0.648,1.547,1
Positive_67,7.287,4.164,1.041,7.981,0.0,7.981,6.593,8.328,1.388,4.164,9.369,8.328,2.082,3.47,3.123,5.205,5.552,1.041,2.776,4.511,-1.18,3.162,-1.416,-3.256,-4.011,0.0,4.908,10.854,0.33,0.0,-3.351,-0.425,1
Positive_68,12.056,4.306,4.019,4.019,2.297,6.889,4.88,8.612,2.584,5.742,9.761,7.464,1.148,2.297,5.455,5.742,6.316,0.861,3.731,6.316,4.023,4.493,-5.329,-3.292,-1.411,-0.261,-0.888,0.836,-0.104,-0.94,-0.94,-0.679,1
Positive_69,10.917,4.758,5.599,7.278,2.799,7.557,3.638,10.357,3.079,8.956,10.636,8.117,4.479,3.079,4.479,3.919,6.718,1.68,4.198,8.677,-5.26,-3.023,-1.935,-2.539,0.605,-3.083,0.121,0.544,0.907,-2.358,-2.842,-2.056,1
Positive_70,4.02,4.493,3.547,5.439,2.837,5.676,4.257,7.686,2.128,4.493,6.858,6.266,1.419,2.483,4.847,6.621,5.084,1.537,3.902,6.74,1.626,3.613,2.078,1.852,3.207,2.349,-2.213,-1.762,0.226,1.265,-2.575,-0.0,1
Positive_71,5.431,2.675,2.918,5.026,1.135,6.08,2.756,5.756,1.54,3.891,7.296,10.215,2.026,2.432,3.567,6.891,3.405,1.054,2.594,5.513,-1.973,1.644,-2.014,1.685,2.384,3.699,1.767,6.576,-1.973,1.397,1.48,3.124,1
Positive_72,15.941,6.015,3.008,6.918,1.203,3.91,3.008,10.827,1.203,6.015,6.918,2.106,3.008,3.609,5.113,5.414,6.617,0.903,1.805,7.218,0.554,-2.166,-2.418,0.05,1.965,1.814,0.151,-3.879,1.713,-0.907,1.864,0.504,1
Positive_73,6.25,5.231,4.823,5.774,2.378,5.91,3.872,5.91,3.261,5.027,11.411,5.434,1.97,3.464,4.415,7.201,4.483,0.951,2.581,6.793,-0.097,1.214,-2.428,-1.166,0.34,1.117,2.72,2.477,0.68,-0.68,-1.603,0.291,1
Positive_74,4.169,1.389,5.558,6.253,2.084,13.2,1.389,9.727,0.0,10.422,5.558,6.947,3.474,3.474,2.084,5.558,3.474,2.084,2.084,6.947,-0.288,3.883,-6.376,-6.088,0.719,1.246,2.828,6.568,2.301,6.807,-2.685,-4.794,1
Positive_75,7.233,2.617,2.686,3.237,0.138,3.444,3.306,6.13,0.758,4.96,7.026,2.962,2.893,3.72,3.1,4.27,4.615,0.62,1.86,6.681,2.529,0.723,3.36,0.397,3.649,2.059,4.986,3.288,4.335,1.301,0.939,0.181,1
Positive_76,10.819,3.246,5.41,4.328,1.622,8.656,4.328,4.868,2.164,7.574,12.982,9.737,3.246,5.41,5.95,3.246,5.95,1.622,5.41,6.492,-7.518,-3.448,-5.822,-4.353,8.197,2.826,2.318,6.897,-5.936,-2.318,0.904,-4.805,1
Positive_77,13.487,4.969,6.151,4.496,1.656,7.808,4.259,8.045,3.549,5.206,12.304,5.678,4.259,2.602,4.496,6.625,5.915,1.183,0.947,6.862,-0.497,0.663,-4.254,-3.757,2.928,2.099,0.276,1.436,-3.481,-2.155,-1.934,-1.823,1
Positive_78,5.971,5.572,2.588,4.975,0.0,6.568,2.588,7.563,1.592,4.975,5.374,4.777,2.388,1.592,2.985,3.383,4.378,0.597,2.189,7.164,2.008,-0.077,-0.077,0.425,2.587,2.973,3.861,6.255,3.359,1.004,-2.239,2.703,1
Positive_79,11.443,7.524,3.448,6.114,0.313,3.448,4.859,10.502,1.568,4.232,6.74,1.254,0.94,2.665,7.524,7.995,8.935,1.568,3.448,6.898,-1.673,-1.217,1.42,1.521,-2.789,-2.028,-1.42,-0.203,-1.318,-0.203,3.499,2.992,1
Positive_80,5.651,8.162,5.651,9.417,0.628,11.301,1.884,7.535,1.884,8.162,14.441,11.928,1.884,8.79,7.535,6.278,8.79,1.256,5.022,11.928,-2.486,10.152,1.45,1.657,0.622,-2.21,-5.594,0.207,-8.287,-9.116,-12.776,-11.74,1
Positive_81,3.447,2.586,5.172,4.309,0.0,9.48,6.033,11.204,2.586,5.172,4.309,10.342,5.172,6.895,0.862,7.756,10.342,0.862,3.447,10.342,-5.516,-4.302,-5.35,-5.681,4.523,4.468,-0.883,9.211,-4.744,-4.302,0.552,1.71,1
Positive_82,10.836,5.736,4.462,5.418,0.318,5.418,3.505,7.649,2.231,3.824,11.472,6.692,2.231,5.098,8.923,5.098,4.78,2.549,4.143,6.055,-0.852,-1.916,-1.49,-4.045,0.692,2.501,-7.877,-5.269,1.437,-1.277,6.014,5.641,1
Positive_83,8.27,5.628,4.365,5.972,0.689,8.156,4.709,9.074,2.642,6.547,8.041,5.513,2.527,3.905,4.136,4.939,4.824,1.263,4.824,5.858,-2.089,2.394,-1.834,-0.611,0.56,3.107,1.426,2.14,-3.668,-1.732,-0.917,-0.662,1
Positive_84,8.58,1.716,6.177,4.461,1.03,8.236,3.775,9.266,1.716,8.58,10.981,7.55,3.089,6.863,5.834,5.491,5.491,0.0,3.775,4.118,-3.789,-2.615,-3.682,-3.362,2.615,1.708,3.575,3.895,-0.854,-3.148,-0.427,-0.64,1
Positive_85,6.886,4.756,4.188,4.402,1.42,7.667,6.744,7.596,1.917,7.241,7.809,8.945,2.129,2.485,5.609,4.473,6.389,2.627,2.768,6.673,-0.924,1.541,-2.054,-1.849,0.873,2.928,1.9,3.338,-2.414,-1.079,-3.338,-1.644,1
Positive_86,14.711,6.716,1.919,6.716,0.32,3.518,2.239,9.594,1.919,3.518,8.635,1.599,1.599,0.959,5.117,4.157,3.198,1.599,0.959,11.833,-3.769,-2.861,1.953,1.544,3.724,2.498,0.363,1.181,2.997,0.545,0.999,0.0,1
Positive_87,21.335,13.208,2.033,10.16,1.524,7.112,2.54,14.223,3.555,4.572,13.208,2.033,3.555,4.064,5.588,6.096,12.191,2.033,1.524,17.271,-1.183,-4.656,-18.773,-15.817,1.478,2.661,-3.917,4.361,1.109,2.143,-10.2,-5.026,1
Positive_88,4.682,5.7,6.514,5.7,2.443,6.107,5.292,8.55,1.832,3.257,7.328,7.328,3.664,2.443,4.682,6.922,4.682,2.85,4.275,5.7,0.8,3.248,0.3,2.149,0.65,3.448,-1.549,0.05,-1.749,-1.749,-3.898,-1.649,1
Positive_89,6.566,3.414,4.99,3.94,2.101,7.616,3.414,8.404,1.838,2.364,4.727,5.515,3.94,4.202,3.152,6.04,3.676,2.364,4.202,4.99,4.766,0.831,0.437,-0.656,1.924,-0.087,1.049,0.219,1.705,2.93,-0.787,0.219,1
Positive_90,7.285,3.914,1.74,3.37,1.033,4.295,3.262,22.072,0.435,1.848,3.044,3.643,0.87,1.359,14.678,2.61,2.392,0.381,0.543,2.065,-1.94,3.395,-1.496,3.274,5.335,5.093,-3.517,1.213,-1.091,3.395,2.627,2.87,1
Positive_91,5.218,2.899,4.058,6.668,4.348,9.856,2.899,4.058,3.478,3.478,8.407,5.798,1.449,4.058,5.218,2.029,4.928,1.159,2.029,5.798,0.615,1.23,0.264,1.318,-0.703,7.466,-1.888,2.723,2.108,3.338,-3.821,-0.483,1
Positive_92,10.125,6.552,7.445,5.658,1.192,8.042,4.467,8.042,2.68,5.658,11.02,6.255,1.787,6.85,7.148,8.042,6.552,2.68,3.574,9.232,-4.613,-2.337,-2.829,-1.538,0.369,2.153,-2.46,0.677,-2.153,-5.781,-2.399,-2.091,1
Positive_93,12.252,9.076,3.857,6.58,1.815,6.353,4.765,8.395,2.949,4.765,12.706,4.991,2.496,4.765,5.445,6.806,5.445,0.908,3.631,6.353,-3.145,-1.887,-5.26,-4.574,4.803,5.089,-4.231,-0.743,-3.316,-0.0,-2.23,1.144,1
Positive_94,8.807,6.966,5.52,7.098,1.709,8.018,3.681,6.441,3.155,6.441,10.91,7.361,2.761,5.52,5.258,4.732,4.732,1.577,4.338,8.675,-1.592,-1.023,-8.584,-6.538,1.649,1.99,1.137,4.264,-2.103,-0.739,-1.023,-1.137,1
Positive_95,7.174,3.043,4.783,5.217,0.87,5.217,5.435,3.043,2.174,3.913,13.913,6.304,3.043,5.217,6.957,11.087,11.957,0.652,1.522,7.174,-3.152,-3.641,1.196,1.087,0.054,-0.652,1.196,2.011,0.054,-0.163,-4.348,-2.337,1
